Date,Symbol,Close,High,Low,Open,Volume,holiday,pre_holiday,post_holiday,Return,weekend
2020-09-15,GOOGL,76.29841613769531,77.08718848150843,75.65130368475471,75.93907522280047,23042000.0,0,0,0,0.01742419972575915,0
2020-09-16,GOOGL,75.15377044677734,77.25516589078781,75.12891797184169,76.6642124114053,22128000.0,0,0,0,-0.01500222086985703,0
2020-09-17,GOOGL,73.90874481201172,74.48628243014171,72.6870752482164,73.84761090080998,40008000.0,0,0,0,-0.01656637620925927,0
2020-09-18,GOOGL,72.12196350097656,74.31432076299625,71.1542715059607,73.97137626531904,63056000.0,0,1,0,-0.02417550609985153,0
2020-09-19,GOOGL,,,,,,1,1,0,,1
2020-09-20,GOOGL,,,,,,1,0,1,,1
2020-09-21,GOOGL,71.08070373535156,71.57374135498944,69.7158879948573,71.15426008539798,56908000.0,0,0,1,-0.01443748499180697,0
2020-09-22,GOOGL,72.55586242675781,72.76212966517872,71.04890119393089,72.08369564990483,33950000.0,0,0,0,0.0207532932833443,0
2020-09-23,GOOGL,70.04938507080078,72.22086354249963,69.71589017051375,72.17165912823069,37726000.0,0,0,0,-0.034545483605645466,0
2020-09-24,GOOGL,70.7188720703125,71.47086236710574,69.68954572564085,69.71589223307419,34552000.0,0,0,0,0.009557357267805378,0
2020-09-25,GOOGL,71.5240478515625,71.8659912364517,69.96440136049542,70.82772346753602,30326000.0,0,1,0,0.011385585737982984,0
2020-09-26,GOOGL,,,,,,1,1,0,,1
2020-09-27,GOOGL,,,,,,1,0,1,,1
2020-09-28,GOOGL,72.49819946289062,73.2104272911329,71.8828940164798,73.16072992273372,30784000.0,0,0,1,0.013619917224900746,0
2020-09-29,GOOGL,72.864013671875,73.16122715906542,72.26659105249696,72.7591433452389,31816000.0,0,0,0,0.005045838540743697,0
2020-09-30,GOOGL,72.84313201904297,73.8669903475037,72.35406834665217,72.6115193753347,40924000.0,0,0,0,-0.00028658389484370606,0
2020-10-01,GOOGL,73.95148468017578,74.30785267032597,73.39979305550085,73.74075053796886,32884000.0,0,0,0,0.015215609631434646,0
2020-10-02,GOOGL,72.34611511230469,73.51063227599069,71.93607578016741,72.54641379359045,31222000.0,0,1,0,-0.021708415656750746,0
2020-10-03,GOOGL,,,,,,1,1,0,,1
2020-10-04,GOOGL,,,,,,1,0,1,,1
2020-10-05,GOOGL,73.69950866699219,73.7924495083504,72.569285847998,72.69652113934576,21602000.0,0,0,1,0.018707204285767,0
2020-10-06,GOOGL,72.11847686767578,73.7834865085433,71.81976938299223,73.33517880442524,26096000.0,0,0,0,-0.021452406235979438,0
2020-10-07,GOOGL,72.52206420898438,73.01063495847261,71.23428569316523,72.5305126864444,36108000.0,0,0,0,0.0055961711732916974,0
2020-10-08,GOOGL,73.72931671142578,73.95794128518894,72.83567417096245,72.83567417096245,26076000.0,0,0,0,0.016646692501229854,0
2020-10-09,GOOGL,75.072265625,75.14184801100704,73.90675497144849,74.19800750030022,32966000.0,0,1,0,0.01821458509958096,0
2020-10-10,GOOGL,,,,,,1,1,0,,1
2020-10-11,GOOGL,,,,,,1,0,1,,1
2020-10-12,GOOGL,77.76312255859375,78.94751706295844,76.0091384398916,76.44155027719509,55344000.0,0,0,1,0.03584355568852926,0
2020-10-13,GOOGL,77.88639068603516,78.785501299795,77.4669093797361,78.3804294251196,39072000.0,0,0,0,0.0015851746095782993,0
